Race,Category,Short Description,Size,Type,Subtype,HD,Land,Burrow,Climb,Fly,Maneuver,Swim,Natural Armor,Natural Attacks,Special Attacks,Spell-like abilities,Psionic abilities,Other Special Abilities,LowLight Vision,Darkvision,Other Senses,Immunities,Vulnerabilities,Energy Resistance,Spell Resistance,Damage Reduction,Fast Healing,Bonus Essentia,Other Special Qualities,Str,Dex,Con,Int,Wis,Cha,StrAdj,DexAdj,ConAdj,IntAdj,WisAdj,ChaAdj,Racial Skills,Racial Weapon Familiarity,Racial Weapon Proficiency,Bonus Feat(s),Automatic Languages,Bonus Languages,Dragonlance Languages,CR Adj.,Alignment,Level Adj.,Favored Class,Base Age,Height,Weight,Special Qualities,,Familiar Level,Companion Level,Familiar Type,Companion  Type,Wildshape Special,Special,Index,Species,Src,Pg,AltSrc
Barbazu (Bearded Devil),,,Medium,Outsider,"Evil, Extraplanar, Lawful",6,40,,,,,,7,2 Claws+6+0+1,,Greater Teleport (at will),,,,60,,"fire, poison",,"acid 10, cold 10",17,10/silver or good,,,,15,15,17,6,10,10,,,,,,,"Climb,Diplomacy,Hide,Listen,Move Silently,Sense Motive,Spot",,,,"Infernal, Celestial, Draconic",,,5,,6,,,,,,,,,,,,,,,MM,,
Bariaur,,,Medium,Outsider,Extraplanar,,40,,,,,,,,,,,,,,,,,,11;ClassLvl,,,,,,,,,,,2,,,,,-2,"Listen+2,Spot+2",,,,"Celestial, Common","Abyssal, Infernal",,,,1,Ranger,20+1d6/2d6/3d6,"5'6""/5'2""+2d8",240/200+2d4,,,,,,,,,,,PlH,,"BoED,MotP"
Bhuka,,,Medium,Humanoid,Goblinoid,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,,,Knowledge (nature)+2,,,,"Bhuka, Common","Draconic, Goblin",,,,,Druid,14+1d4/2d4/3d6,"4'0""/3'9""+2d10",30/25+1d4,,,,,,,,,,,Sand,141,
Bladeling,,,Medium,Outsider,Lawful,,30,,,,,,4,2 Claws+5+0+0,,,,,normal,,,"acid, rust attacks",,"cold 5, fire 5",,5/magic and piercing or slashing,,,,,,,,,,,2,,,,,"Bluff,Climb,Craft (weaponsmithing)+4,Hide,Jump+4,Knowledge (the planes),Listen,Spot",,,,Common,Infernal,,1,,2,Fighter,,,,,,,,,,,,,,MM2,31,LF
Blue,,,Small,Humanoid,Goblinoid,,30,,,,,,,,,,,,,60,,,,,,,,,,6,13,14,17,12,8,-2,0,0,2,0,-2,"Move Silently+4,Ride+4",,,,"Common, Goblin","Draconic, Elven, Giant, Gnoll, Orc",,,,1,Psion,,,,,,,,,,,,,,XPH,189,
Boggle,,,Small,Monstrous Humanoid,,4,40,,30,,,,2,"2 Claws+5+0+0,Bite+5+0+0",,"Dimension Door(6/day, CL7)",,,,60,,,,fire 5,,5/magic,,,,,,,,,,,10,,-6,-2,-4,"Climb,Escape Artist+10,Hide,Move Silently,Sleight of Hand",,,,Boggle,,,3,,3,Rogue,,,,,,,,,,,,,,MM2,33,
Braxat,,,Large,Monstrous Humanoid,,10,30,,,,,,8,Gore+5+0+0,,"Blink (at will); Confusion, Feeblemind (CL8, Save DC10+Spell Level)",,,,60,,,,,,10/magic,,,,,,,,,,12,2,10,4,2,,"Intimidate,Jump,Listen,Spot,Survival",,,"Combat Expertise, Iron Will, Power Attack",Giant,Common,,9,,7,Ranger,,,,,,,,,,,,,,MM2,37,
Bueroza,,,Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",6,20,,,,,,,,,"Greater Command, Haste, Scare (at will)",,,,,,"fire, poison, mind-affecting spells and abilities, sleep effects, stun, paralysis, and death effects",,"acid 10, cold 10",16,5/good,,,,,,,,,,6,-2,8,2,-2,4,"Balance,Diplomacy,Intimidate,Jump,Knowledge (geography),Knowledge (the planes),Listen,Ride,Spot,Survival",,,,"Celestial, Draconic, Infernal",,,6,,6,Fighter,,,,,,,,,,,,,,FCII,137,
Bugbear,,,Medium,Humanoid,Goblinoid,3,30,,,,,,3,,,,,,,60,,,,,,,,,,15,12,13,10,10,9,4,2,2,0,0,-2,"Climb,Hide,Listen,Move Silently+4,Search,Spot",,,,"Common, Goblin","Draconic, Elven, Giant, Gnoll, Orc",,2,,1,Rogue,,,,,,,,,,,,,,MM,29,RoF
Buomman,,,Medium,Humanoid,Extraplanar,,30,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,2,-2,Listen+2,,,,"Buommi, Common","Aquan, Githzerai, Terran",,,,,Monk,15+1d4/1d6/2d6,"4'8""/4'4""+2d10",130/90+2d4,,,,,,,,,,,PlH,,
Caliban,,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,-2,,-2,,,,,"Common, Orc","Draconic, Giant, Gnoll, Goblin, Abyssal",,,,,Barbarian,,,,,,,,,,,,,,RCS,,
"Canomorph, Haraknin",,,Medium,Outsider,"Evil, Extraplanar, Fire, Lawful, Shapechanger",4,30,,,,,,5,"Bite+6+0+1,Slam+4+0+0",,,,,,,,fire,cold,,,,,,,,,,,,,2,2,2,-4,,-4,"Hide+5,Jump,Listen,Move Silently+5,Spot,Survival",,,Track,Infernal,Common,,3,,3,Ranger,,,,,,,,,,,,,,FF,25,
"Canomorph, Shadurakul",,,Medium,Outsider,"Evil, Extraplanar, Shapechanger",4,30,,,,,,3,Bite+5+0+1,,,,,,,,,,,,,,,,,,,,,,6,2,6,-6,2,2,"Hide,Listen,Move Silently,Spot,Survival",,,Track,Common,"Abyssal, Infernal",,4,,4,Fighter,,,,,,,,,,,,,,FF,25,
"Canomorph, Vultivor",,,Medium,Outsider,"Chaotic, Evil, Shapechanger, Extraplanar",3,30,,,,,,3,"2 Claws+3+0+0,Bite+6+0+1",,,,,,,,,,,,,,,,,,,,,,6,6,4,-4,,4,"Hide,Listen,Move Silently,Search,Spot,Survival",,,,Abyssal,Common,,3,,4,Rogue,,,,,,,,,,,,,,FF,25,
Catfolk,,,Medium,Humanoid,Catfolk,,40,,,,,,1,,,,,,normal,,,,,,,,,,,,,,,,,,4,,,,2,"Listen+2,Move Silently+2",,,,"Common, Feline","Draconic, Gnoll, Halfling, Sylvan",,,,1,Ranger,14+1d4/1d6/2d6,"4'10'/4'5""+2d10",120/85+2d4,,,,,,,,,,,RotW,,MH
Centaur,,,Large,Monstrous Humanoid,,4,50,,,,,,3,2 Hooves+4+0+0,,,,,,60,,,,,,,,,,18,14,15,8,13,11,,,,,,,"Listen,Move Silently,Spot,Survival",,"Longbow;Longbow, Composite;Longsword",,"Sylvan, Elven","Common, Gnome, Halfling","Abanasinian, Elven, Goblin, Ogre",3,,2,Ranger,30+2d6/4d6/6d6,"6'5""/6'2""+2d6",2050/1900+4d6,,,,,,,,,,,MM,32,"RotW,DLCS,RoF,LGCS"
"Centaur, Wendle",,,Medium,Monstrous Humanoid,,2,40,,,,,,5,2 Hooves+4+0+0,,,,,,60,,,,,,,,,,,,,,,,4,4,,,2,-2,"Knowledge (history),Listen,Move Silently,Spot,Survival",,"Longbow;Longbow, Composite;Longsword",,"Elven, Sylvan","Common, Kenderspeak, Ogre",,1,,1,Ranger,,,,,,,,,,,,,,BoK,,
Changeling,,,Medium,Humanoid,Shapechanger,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bluff+2,Intimidate+2,Sense Motive+2",,,,Common,"Auran, Dwarven, Elven, Giant, Gnome, Halfling, Terran",,,,,Rogue,15+1d4/1d6/2d6,"5'1""/5'1""+2d4",115/115+2d4,,,,,,,,,,,MM3,24,ECS
Chaond,,,Medium,Outsider,Native,,30,,,,,,,,,Shatter (CL 21),,,,,,,,"acid 5, cold 5, sonic 5",,,,,,,,,,,,,4,2,,,-2,"Escape Artist+2,Jump,Move Silently,Tumble+2",,,,Common,,,,,1,First class chosen,,,,,,,,,,,,,,MM2,,
Chitine,,,Small,Monstrous Humanoid,,2,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,-4,"Balance,Climb+8,Craft (trapmaking),Hide,Jump,Move Silently",,,Multiweapon Fighting,Undercommon,By region,,,,2,Rogue,,,,,,,,,,,,,,Und,,Mon
Crucian,,,Medium,Humanoid,,,20,,,,,,8,,,,,,normal,,,,,,,,,,,,,,,,,4,-2,6,,,-2,,,,,"Common, Draconic",Sphinx,,,,2,Druid,,,,,,,,,,,,,,Sand,144,
Daelkyr Half-blood,,,Medium,Aberration,,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,Symbiont Mastery,Common,Daelkyr,,,,,Rogue,,,,,,,,,,,,,,MoE,,ECS
Darfellan,,,Medium,Humanoid,Aquatic,,20,,,,,40,,Bite+5+0+2,,,,,,,,,,,,,,,,,,,,,,2,-2,,,,,Swim+8,,,,Darfellan,"Aquan, Common",,,,,Barbarian,14+1d4/1d6/2d6,"4'5""/4'5""+2d4",120/100+2d6,,,,,,,,,,,Sto,143,
"Dark One, Dark Creeper",,,Small,Humanoid,,,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,6,2,,4,,"Hide,Listen,Move Silently,Sleight of Hand,Spot,Tumble",,,,Dark One,,,3,,4,Rogue,,,,,,,,,,,,,,FF,38,
"Dark One, Dark Stalker",,,Medium,Humanoid,,3,30,,,,,,2,,,Fog Cloud (2/day),,,,,,,,,,,,,,,,,,,,4,6,2,2,4,6,"Hide,Listen,Move Silently,Sleight of Hand,Spot,Tumble",,,,Dark One,,,4,,5,Rogue,,,,,,,,,,,,,,FF,38,
"Darkling, Vistani",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hide+4,Knowledge (poison)+4,Listen+8,Move Silently+4,Spot+8",,,,Common,,,1,,,Any,,,,,,,,,,,,,,COD,,
Deep Imaskari,,,Medium,Humanoid,,,30,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,-2,,2,,,,,,,"Common, Roushoum","Aquan, Dwarven, Elven, Terran, Undercommon",,,,,Wizard,,,,,,,,,,,,,,Und,,
Desmodu,,,Large,Monstrous Humanoid,,12,20,,30,,,,5,"2 Claws+3+0+1,Bite+4+0+0",,"Speak With Bats (at will, CL 1)",,,,60,,,,,,,,,,,,,,,,10,6,8,4,4,,"Balance,Climb,Handle Animal,Jump,Listen,Move Silently,Ride,Spot,Tumble,Use Rope",,Notbora,Two-Weapon Fighting,"Desmodu, Undercommon",Terran,,9,,2,Fighter,,,,,,,,,,,,,,MM2,62,"DH,Sand"
Dogai (Assassin Devil),,,Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",14,30,,,,,,8,,,"Dimension Door, Fog Cloud, Nondetection, Tongues (at will), Greater Teleport (1/day)",,,,,,"fire, poison",,"acid 10, cold 10",21,10/good,,,,,,,,,,8,18,6,6,12,6,"Balance,Bluff,Climb,Diplomacy,Disguise,Escape Artist,Hide,Intimidate,Jump,Listen,Move Silently,Sense Motive,Spot,Tumble,Use Rope",,,,"Common, Infernal, Celestial, Draconic",,,11,,6,Rogue,,,,,,,,,,,,,,FCII,114,
Domovoi,,,Small,Fey,Fire,2,20,,,,,,2,,,"Produce Flame , Pyrotechnics (Smoke Cloud Only, DC 15) (at will); Flaming Sphere (3/day, DC 15)",,,normal,,,,,,,,,,,,,,,,,-2,4,2,4,6,6,"Balance,Escape Artist+2,Hide,Jump,Listen,Move Silently,Sleight of Hand,Spot,Tumble,Use Rope",,,,"Common, Ignan, Sylvan","Dwarven, Giant, Gnome, Goblin, Halfling",,1,,2,Rogue,,,,,,,,,,,,,,Frost,121,
Doppelganger,,,Medium,Monstrous Humanoid,Shapechanger,4,30,,,,,,4,Slam+5+0+2,,,,,,60,,"sleep, charm effects",,,,,,,,12,13,12,13,14,13,,,,,,,"Bluff+4,Diplomacy,Disguise+4,Intimidate,Listen,Sense Motive,Spot",,,,Common,"Auran, Dwarven, Elven, Gnome, Halfling, Giant, Terran",,4,,4,Rogue,15+1d4/1d6/2d6,"4'8""/4'8""+2d10",100/100+2d4,,,,,,,,,,,RoD,93,MM
"Draconian, Baaz",,,Medium,Dragon,,2,30,,,,,,2,"2 Claws+4+0+1,Bite+4+0+0",,,,,normal,60,,"sleep, paralysis, disease",,,8;ClassLvl,,,,,,,,,,,,,2,-2,-2,,"Bluff,Disguise,Intimidate,Listen,Spot",,Longsword,Run,Common,"Goblin, Nerakese, Ogre",,,,1,Fighter,,,,,,,,,,,,,,DLCS,215,
"Draconian, Flame",,,Large,Dragon,Fire,8,30,,,60,poor,,6,"2 Claws+3+0+1,Bite+5+0+1",,"Fireball (3/day, CL 8)",,,normal,60,,"fire, sleep,paralysis effects, all diseases",cold,,20;ClassLvl,,,,,,,,,,,4,2,2,,,,"Climb,Craft (armorsmithing),Craft (weaponsmithing),Intimidate,Jump,Listen,Survival",,,Draconian Breath Weapon,Common,,,8,,3,Barbarian,,,,,,,,,,,,,,BoK,,
"Draconian, Frost",,,Medium,Dragon,Cold,2,30,,,,,,3,"2 Claws+4+0+1,Bite+4+0+0",,,,,normal,60,,"cold, sleep, paralysis, disease",fire,,8;ClassLvl,,,,,,,,,,,2,,2,-2,-2,,"Climb,Disguise,Intimidate,Listen,Spot",,,Run,Common,,,2,,1,Fighter,,,,,,,,,,,,,,BoK,,
"Draconian, Kapak",,,Medium,Dragon,,2,30,,,,,,2,Bite+4+0+1,,,,,normal,60,,"sleep, paralysis, disease",,,11;ClassLvl,,,,,,,,,,,,2,2,-2,-2,,"Hide,Listen,Move Silently,Search,Spot",,"Shortbow;Shortbow, Composite;Sword, Short",,Common,"Goblin, Nerakese, Ogre",,,,2,Rogue,,,,,,,,,,,,,,DLCS,219,
"Draconian, Lightning",,,Large,Dragon,,6,30,,,60,poor,,4,"2 Claws+3+0+0,Bite+5+0+1,Tail Slap+5+0+1",,"Detect Evil (at will); Shocking Grasp (2/day, CL 6); Remove Disease (1/week)",,,normal,60,,"electricity, sleep, paralysis, disease",,,16;ClassLvl,,,,,,,,,,,4,,4,,2,2,"Bluff,Climb,Concentration,Diplomacy,Disguise,Gather Information,Intimidate,Jump,Listen",,,Run,Common,,,7,,5,Paladin,,,,,,,,,,,,,,BoK,,
"Draconian, Vapor",,,Medium,Dragon,,4,30,,,,,,8,"2 Claws+4+0+1,Bite+4+0+1",,,,,normal,60,,"sleep, paralysis, disease",,,14;ClassLvl,,,,,,,,,,,2,,,2,2,,"Bluff,Concentration,Intimidate,Knowledge (nature),Listen,Search,Spellcraft,Spot,Survival",,,Run,Common,,,5,,3,Mystic,,,,,,,,,,,,,,BoK,,
"Draconian, Venom",,,Medium,Dragon,,2,30,,,,,,2,Bite+5+0+1,,,,,normal,60,,"sleep, paralysis, disease",,,11;ClassLvl,,,,,,,,,,,,2,,,-2,2,"Hide,Listen,Move Silently,Search,Spot",,,,Common,,,4,,2,Rogue,,,,,,,,,,,,,,BoK,,
Dracotaur,,,Large,Dragon,,3,50,,,,,,5,"Bite+5+0+0,Tail Slap+5+0+0",,,,,normal,60,,"magic sleep effects, paralysis",,,,,,,,,,,,,,8,2,6,2,,2,"Balance+4,Intimidate,Jump+4,Knowledge (arcana),Listen,Sense Motive,Spellcraft,Spot,Survival,Swim+4,Use Magic Device",,,,Draconic,Any,,3,,5,Sorcerer,,,,,,,,,,,,,,MM3,42,
Draegloth,,,Large,Outsider,,6,30,,,,,,5,"2 Claws+5+0+1,Bite+6+0+0",,Dancing Lights (CL 6),,,,,,"poison, sleep",,"acid 20, cold 20, electricity 20, fire 20",,,,,,,,,,,,12,4,2,2,,,"Climb,Concentration,Craft (any),Hide,Jump,Knowledge (arcana),Knowledge (religion),Knowledge (the planes),Listen,Move Silently,Search,Spellcraft,Spot,Survival",,,,"Abyssal, Elven, Undercommon","Aquan, Common, Draconic, Drow Sign Languages, Gnome, Goblin, Kuo-toan",,5,,4,Cleric,,,,,,,,,,,,,,CR,8,Mon
Dragonborn of Bahamut,,,ref:DragonbornSize,ref:DragonbornType,ref:DragonbornSubtype,ref:DragonbornHD,ref:DragonbornSpeed,ref:DragonbornBurrow,ref:DragonbornClimb,ref:DragonbornFly,ref:DragonbornManeuver,ref:DragonbornSwim,,,,,,,ref:DragonbornLLV,ref:DragonbornDarkvision,,ref:DragonbornImmunities,,,,,,,,,,,,,,ref:DragonbornStrAdj,ref:DragonbornDexAdj,ref:DragonbornConAdj,ref:DragonbornIntAdj,ref:DragonbornWisAdj,ref:DragonbornChaAdj,,,,,ref:DragonbornLanguages,ref:DragonbornBonusLanguages,,ref:DragonbornCR,,ref:DragonbornLA,ref:DragonbornFavClass,,,,,,,,,,,,,,RotD,5,
Dromite,,,Small,Monstrous Humanoid,,,20,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,-2,,,,-2,2,Spot+2,,,,Common,"Dwarven, Gnome, Goblin, Terran",,,,1,Wilder,13+1d4/1d6/2d6,"2'8""/2'8""+2d4",30/30+1d1,,,,,,,,,,,XPH,194,
Durzagon,,,Medium,Outsider,"Evil, Lawful",5,30,,,,,,1,"2 Claws+5+0+1,Bite+5+0+0,Beard+3+0+0",,"Darkness (3/day); Desecrate, Enlarge(self only), Invisibility, Unholy Blight(DC 9+Spelllvl)",,,,,,"paralyses, phantasms, poison",,"acid 10, cold 10, electricity 10, fire 10",15;ClassLvl,5/magic,,,,,,,,,,4,4,4,4,0,-2,"Appraise,Bluff,Diplomacy,Intimidate,Listen+1,Move Silently+4,Search,Sense Motive,Spot+1",,,Alertness,"Dwarven, Undercommon",Infernal,,4,,3,Cleric,,,,,,,,,,,,,,MM2,124,
Duskling,,,Medium,Fey,"Extraplanar, Incarnum",,30,,,,,,,,,,,,normal,,,,,,,,,1,,,,,,,,,,2,-2,,,,,,,"Common, Sylvan","Elf, Gnoll, Gnome, Goblin, Halfling",,,,,Totemist,75+3d6/4d6/5d6,"4'6""/4'4""+2d4",100/90+2d4,,,,,,,,,,,MoI,10,
Dvati,,,Medium,Humanoid,,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,"Common, Dvati",,,,,1,Bard,,,,,,,,,,,,,,DC,15,
"Dwarf, Arctic",,,Small,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,cold,,,,,,,,,,,,,,4,-2,2,,,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven",By region,,,,2,Ranger,40+3d6/5d6/7d6,"2'8""/2'4""+2d4",50/40+1d4,,,,,,,,,,,RoF,,
"Dwarf, Badlands",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,,,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon",,,,,Fighter,,,,,,,,,,,,,,Sand,,LGCS
"Dwarf, Dark",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,2,,,-4,"Hide+2,Listen+2,Move Silently+2","Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon",,,,,Rogue,,,,,,,,,,,,,,DLCS,,
"Dwarf, Deep",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,90,,,,,,,,,,13,11,14,10,9,6,0,0,2,0,0,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon",,,,,Fighter,,,,,,,,,,,,,,MM,92,
"Dwarf, Dream",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,-2,2,,,,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Draconic, Elven, Gnome, Terran, Undercommon",,,,,Druid,60+4d6/6d6/9d6,"3'6""/3'4""+2d4",100/80+2d6,,,,,,,,,,,RoS,88,
"Dwarf, Duergar",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,120,,"paralysis, phantasms, poison.",,,,,,,,13,11,14,10,9,4,0,0,2,0,0,-4,"Listen+1,Move Silently+4,Spot+1",,,,"Common, Dwarven, Undercommon","Draconic, Giant, Goblin, Orc, Terran",,,,1,Fighter,40+3d6/5d6/7d6,"3'9""/3'7""+2d4",110/80+2d4,,,,,,,,,,,MM,92,XPH
"Dwarf, Fireblood",,,Medium,Humanoid,"Dragonblood, Dwarf",,20,,,,,,,,,,,,,60,,,,fire 5,,,,,,,,,,,,,,2,,,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon",,,,,Fighter,,,,,,,,,,,,,,DrM,,
"Dwarf, Glacier",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,,,-2,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Orc, Terran, Undercommon",,,,,Fighter,40+3d6/5d6/7d6,"3'9""/3'7""+2d4",130/100+2d6,,,,,,,,,,,Frost,122,
"Dwarf, Gold",,,Medium,Humanoid,Dwarf,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,-2,2,,,,,"Urgrosh, Dwarven;Waraxe, Dwarven",,,"Common, Dwarven","Giant, Gnome, Goblin, Shaaran, Terran, Untheric",,,,,Fighter,40+3d6/5d6/7d6,"3'9""/3'7""+2d4",130/100+2d6,,,,,,,,,,,PGtF,,FRCS
